라모스는,24
않는다.,4
석석,4
"뒤집어주지...""",4
'수아레즈,4
엇갈렸다.,8
갖춘,12
"2021.04.27.,""'호타준족'",4
불펜진을,4
5패를,4
"2021.04.30.,""'2G",4
LG전부터,4
"걸었다,""언제나",4
예감한다,4
"기대됐지만,",4
고민,28
치른다.,56
이종열,36
"2021.04.16.,교체",4
응답,8
"와인드업'"",28일",4
"'쳐봐'"",30일",8
보스턴의,12
경헌호,4
고명준(19)을,4
손에,20
"김재환,""13일",4
"됐다.""",4
XP],4
벌써,20
재목이다.,4
베어스(각,4
정수빈(내복사근,4
검사…LG,4
"배재준,18일",4
김동혁이,24
난타당한...,8
사이드암=두산,4
8번타자,16
8.68개에,4
담장에,8
놓쳐도,4
3.64로,4
리뷰]'수아레즈,4
구하는...,4
"탈출"",""2021",4
넘쳤다.,8
"2021.04.18.,득점에",8
1아웃을,4
"2021.04.30.,SSG",8
감사,8
이송했다.,4
김경문(왼쪽,8
"동병상련,두산",4
맞으며...,4
이영하(24)의,8
(뉴시스),4
"하더라""""며",4
박주성을,4
"2021.04.28.,[사진]홈에서",4
요키시가,56
"이정용,16일",4
라이브피칭,4
들어서기,4
"2021.04.16.,'헤드샷'",16
서울Kixx,4
교체되어,20
믿는다,4
등판했다.,52
놓치지,28
"에이스,",4
중심타선을,4
송명근을,8
"2021.04.20.,[사진]3회",4
박세혁(두산,12
6시30분,20
4연승,20
삼대장,48
참가하고,20
양사의,16
보탰다.,20
‘위닝시리즈를,8
잡혔어',4
"김준우,21일",4
"박세혁,",168
박세혁.,4
"2021.04.24.,""[잠실히어로]'역전",4
고영표는...,4
됐다....,4
랜더스전부터,4
9K,12
들어가며,8
피렐라(1.025)가,12
박기량이,8
구단처럼,4
역전타…최주환,4
되기도.,8
"아쉬워'"",NC",4
'주자,8
"합니다'"",""24일",4
격려와,4
실책하고...,4
2패,4
"2021.04.29.,""'9억팔'",8
"김태군,",12
1군서,4
걸음',4
안착한,4
시작된,8
"1,3루에서",104
"불살랐다""""",8
스페셜리스트,4
선발승…주인공은,4
'대한외국인',4
3이닝씩만,4
"""""김재환,",4
중전안타를,36
노린다.,12
"말듯"",""롯데는",4
"재검,""프로야구",4
"작렬…롯데,",4
망치는,4
무언가가,4
그렸다.,4
"미소'"",21일",4
선발등판에,4
"2021.04.24.,이동욱",12
"""""개인",4
5타점,24
thunder@sportsseoul.com들쑥날쑥한,4
뒤를,20
최고참도,4
지고,8
"봤어요'"",24일",4
"알몬테,""13일",4
"LG는...""",8
이영하(24)와,8
전개되고,8
합류가,4
삼성과,8
순간마다,4
2연패해,8
"2021.04.28.,오재원",12
롯데전에서,4
17개로,4
"시구, 시타자로",4
디딤돌을,4
평균자책점이다.,8
선수들이,10334
"유키,'혼신의",4
"완벽해'"",두산",4
히어로즈전에,16
성적,44
선수들을,44
꾸준하게,4
2루,10574
참은,4
"2021.04.23.,""이래서",4
참을,4
5실점’,8
"선발등판"",2021프로야구",4
선수들의,128
"""""13경기는",4
"2021.04.21.,""허문회",4
"2021.04.24.,세상",4
"초반이고...""",4
"2021.04.25.,""오승환,",12
"복귀…""""선발",4
"없다'"",23일",8
"김재환,23일",4
송명기(6일,4
16일,544
"2021.04.30.,""4월은",4
칭찬했다.,16
들어서고,12
정수빈(31)도,12
"3점포"",사직구장에서",4
13년연속,4
싶은,8
등판할,8
좋았던,12
"강판'[포토],""24일",4
안권수는,16
등판해,304
"대량실점',29일",4
"김원중,'불끄러",4
5위는,4
"솔로포"",22일",4
"2021.04.28.,유희관",8
1회초,700
시즌에는,4
‘이번엔,4
"황경태를...""",4
건강을,8
원투,8
"낳기도...""",4
"역전타"",""2021",4
커진,4
쏘아올린,16
앞자리를,4
중심타선에,4
'매력적인,16
'알테어~,4
"시타"",""키움히어로즈는",12
방문경기에서,4
부회장,4
기원,28
"2021.04.30.,홍건희",8
LG트윈스,19994
중[SS,4
구멍난,4
3점포',8
히어로즈와의,80
"되..."",김태형",8
"책임감..."",""두산",4
뛰며,4
"2021.04.14.,""[MD포토]",4
시구는 TV조선,4
도루,24
"2021.04.16.,""김재호",4
들었다.,4
'하체,8
"막아냈고,",4
플렉센…두산표,4
결승타+3루타',4
은인,8
"미란다,",100
"인상적"""""",""""""두산",4
13일에,4
"로켓,'김태형",4
쳐낸,12
6안타(3홈런),8
MVP],16
'1회말,4
"""""후련합니다""""",4
"거리두기',""16일",4
랜덤으로,4
상금...,4
"2021.04.20.,추신수",4
"[엠스...,ㅣ두산",4
끌어내릴,4
담장을,4
"6실점,",8
원정을,8
동강,4
"나성범,2021",4
거두고도,4
1-2로,4
사전,4
"설욕,",4
2연패서,4
‘우아’는,16
대화하고,4
기량을,4
대거,48
논의해왔다.,4
"김준태,""22일",8
"2021.04.22.,""[사진]손가락",4
5차전,4
8승(8패)째를,4
환호,4
복귀…제구,4
"감독,",204
감독.,28
3회)과,4
봤다,4
"후보,""지난",4
"2021.04.26.,""세라젬,",4
"독일까"",지난",4
히어로즈전은,4
위즈전에,8
히어로즈전을,12
'누가,4
히어로즈전의,4
안방을,8
"싸웠으면""""…이영하는",4
멍에를,4
바꿔주는,4
박건우에게,28
위즈-키움,4
안방이,8
안방인,12
"2021.04.25.,""테임즈",4
"2021.04.27.,전병우",4
"2021.04.28.,""‘수비요정",4
김재호(36)와,4
'이럴,4
돼서,4
승부를,68
"2021.04.27.,[베이스볼",4
급,4
바랐다.,8
얼굴,28
"2021.04.29.,""[포토]이종민,",4
박,24
"2021.04.25.,[포토]",32
"만나요!"",2021",8
말소시켰다.,8
복귀를,12
제압했다.,56
"응원해요!,18일",12
지석훈,4
"2021.04.29.,서건창",4
대단하네',8
"적시타"",""2021",12
불씨,8
"2021.04.18.,적시타",4
"'미안해요',2021",4
14-6,4
회장과,12
"맹타"",""21일",4
"박수"",2021",4
했는데...,4
'날카로운,12
희생타,4
"2021.04.30.,""'깜짝",4
스프링캠프에...,4
내려오며,4
짜는,4
"[고척:선발리뷰]"",두산",4
추가하는,4
"등판한...""",4
홈팀,4
자아내고,4
"있다"",""지난해",4
